id_iniciativa,nombre,responsable_id,servicio,estado,avance_pct,fecha_inicio,fecha_fin,prioridad,comentario,tipo,criticidad
1,Ahorro Biobus,1,Biotren,En curso,40,2026-01-01,2026-07-01,Media,Ejemplo: Avance según cronograma,Proyecto,Alta
2,Eficiencia B.I.,2,Biotren,En curso,50,2026-03-13,2026-04-13,Alta,,Mejora,Alta
3,Eficiencia B.E.,2,Biotren,En curso,50,2026-03-13,2026-04-13,Alta,,Mejora,Alta
4,Campaña de Marketing Araucanía - 14 Serv.,4,Tren Araucanía,En curso,60,2026-03-23,2026-04-20,Alta,,Mejora,Alta
5,Campaña de Marketing Biotren - 11 min.,4,Biotren,Planificada,40,2026-03-30,2026-04-20,Alta,,Mejora,Alta
6,Itinerario 10 min. Julio - Biotren,1,Biotren,En curso,50,2026-03-26,2026-06-15,Alta,,Proyecto,Alta
7,Plan Operación Trenes Acoplados - Biotren,1,Biotren,En curso,50,2026-03-26,2026-08-15,Media,,Proyecto,Alta
8,Integración Sistema de Pago Electronico Concepción,,Biotren,Planificada,0,2026-03-13,2026-10-01,Baja,,Proyecto,Media
9,Pricing,,EFE Sur,Planificada,0,2026-03-13,2026-10-01,Baja,,Control,Media
10,MDP Laja,3,Laja Talcahuano,En curso,50,2026-03-13,2026-06-15,Media,,Mejora,Media
11,MDP Araucanía,3,Tren Araucanía,En curso,50,2026-03-13,2026-06-15,Media,,Mejora,Media
12,Modelo de Experiencia,2,EFE Sur,En curso,40,2026-03-13,2026-04-13,Alta,,Control,Alta
13,Procedimientos y Protocolos,2,EFE Sur,En curso,10,2026-03-13,2026-04-13,Alta,,Control,Alta
14,Plan Invierno - Seguridad Pasajeros,2,Biotren,No planificado,0,2026-03-26,2026-06-21,Alta,,Mejora,Alta
